프레임 수, 구한 환자 수
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 0
78, 0
79, 0
80, 0
81, 0
82, 0
83, 0
84, 0
85, 0
86, 0
87, 1
88, 1
89, 1
90, 1
91, 1
92, 1
93, 2
94, 2
95, 2
96, 2
97, 2
98, 2
99, 2
100, 2
101, 2
102, 2
103, 2
104, 2
105, 3
106, 3
107, 3
108, 3
109, 3
110, 3
111, 3
112, 3
113, 3
114, 3
115, 3
116, 3
117, 3
118, 3
119, 3
120, 3
121, 3
122, 3
123, 3
124, 3
125, 3
126, 3
127, 3
128, 3
129, 4
130, 5
131, 5
132, 5
133, 5
134, 5
135, 5
136, 5
137, 5
138, 5
139, 5
140, 5
141, 5
142, 5
143, 5
144, 5
145, 5
146, 5
147, 5
148, 5
149, 5
150, 5
151, 5
152, 5
153, 5
154, 5
155, 5
156, 5
157, 5
158, 5
159, 5
160, 5
161, 5
162, 5
163, 5
164, 5
165, 5
166, 6
167, 6
168, 6
169, 6
170, 6
171, 6
172, 6
173, 6
174, 6
175, 6
176, 6
177, 7
178, 7
179, 7
180, 7
181, 7
182, 7
183, 7
184, 7
185, 7
186, 7
187, 7
188, 7
189, 7
190, 7
191, 7
192, 7
193, 7
194, 7
195, 7
196, 7
197, 7
198, 7
199, 7
200, 7
201, 7
202, 7
203, 7
204, 7
205, 7
206, 7
207, 7
208, 7
209, 7
210, 7
211, 7
212, 7
213, 7
214, 7
215, 7
216, 7
217, 7
218, 7
219, 7
220, 7
221, 7
222, 7
